sample_id
1004
1009
1013
70
72
Chi_Caur_10
Chi_Caur_11
Chi_Caur_12
Chi_Caur_13
Chi_Caur_14
Chi_Caur_15
Chi_Caur_16
Chi_Caur_17
Chi_Caur_18
Chi_Caur_19
Chi_Caur_20
Chi_Caur_22
Chi_Caur_23
Chi_Caur_25
Chi_Caur_26
Chi_Caur_27
Chi_Caur_28
Chi_Caur_29
Chi_Caur_3
Chi_Caur_30
Chi_Caur_31
Chi_Caur_32
Chi_Caur_33
Chi_Caur_34
Chi_Caur_4
Chi_Caur_5
Chi_Caur_6
Chi_Caur_7
Chi_Caur_8
UM_Caur_10
UM_Caur_11
UM_Caur_12
UM_Caur_13
UM_Caur_14
UM_Caur_15B
UM_Caur_15S
UM_Caur_21
UM_Caur_22
UM_Caur_23
UM_Caur_3
UM_Caur_7
UM_Caur_8
