sample_id
SRR33502044
SRR33502071
SRR33502096
SRR33502116
SRR33502128
SRR33502132
SRR33502139
SRR33502174
SRR33531253
SRR33531271
SRR33531275
SRR34928136
SRR35007179
SRR35095316
SRR35095322
SRR35095323
SRR35187331
SRR35187332
SRR35187333
SRR35187341
SRR35187345
SRR35264873
SRR35732983
SRR35732991
SRR35733000
SRR35733004
SRR35733019
SRR35783363
SRR35783364
SRR35783373
SRR35815537
SRR35860673
SRR35860676
SRR35860678
SRR35860686
SRR35965414
SRR35965419
SRR35965423
SRR35965428
SRR35965437
SRR35965440
SRR35965444
SRR35965449
SRR36019206
SRR36019215
SRR36019218
SRR36019219
SRR36279399
SRR36279400
SRR36279403
SRR36279406
SRR36279407
SRR36279413
SRR36279414
SRR36279416
SRR36426520
SRR36426528
SRR36426533
SRR36426540
SRR36426545
SRR36604783
SRR36604787
SRR36604789
SRR36660822
SRR36660823
SRR36660824
SRR36660831
SRR36897181
SRR36897188
SRR36897193
SRR36897202
SRR36897203
SRR36897205
SRR36897206
SRR36936426
SRR36936431
SRR36936433
SRR36936435
SRR36936449
SRR36936452
SRR37144247
SRR37144252
SRR37144253
SRR37144257
SRR37144260
SRR37235513
SRR37235518
SRR37235521
SRR37235522
SRR37235526
SRR37235527
SRR37235528
SRR37235530
SRR37235532
SRR37303823
SRR37303824
SRR37303833
SRR37396336
SRR37396342
SRR37396344
SRR37531321
SRR37531322
SRR37531323
SRR37531328
SRR37531330
SRR37531332
SRR37531333
SRR37531334
SRR37531336
SRR37537532
SRR37537537
SRR37537539
SRR37612025
SRR37612027
SRR37712522
SRR37712526
SRR37712530
SRR37815266
SRR37815267
SRR37815275
SRR37924084
